dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2127726081184588160,289.6556,46.6103,3.5423,1.032,0.13253,2.9531,-3.0368,-8065.11,266.71,93.78,2.322,8.488,CH-2,11.543,11.421,11.666,0
2133055723280822016,290.2121,50.3054,3.6158,1.638,0.14014,4.6099,-2.6723,-8083.3,262.85,97.62,2.436,7.682,CH-2,4.368,4.368,,0
2133330051428541952,288.2261,51.0276,3.9572,1.035,0.02602,4.7228,-3.0952,-8087.7,238.47,97.07,2.475,9.427,CH-2,15.689,,15.689,0
2126529468937923456,292.9131,45.3856,3.7904,0.945,0.05986,3.6162,-3.4462,-8067.58,251.85,77.51,2.489,9.806,CH-2,,,,0
2139556207822524416,289.3153,52.9691,3.855,1.741,0.03523,5.0879,-2.6998,-8096.03,245.8,99.53,2.564,8.157,CH-2,0.618,0.618,,0
2133510921093964928,288.3215,51.7504,3.9984,1.058,0.01294,5.2424,-1.719,-8091.1,236.15,97.16,2.694,10.892,CH-2,,,,0
2126008609657702784,291.1732,43.1347,3.9928,1.042,0.00489,4.6951,-3.4998,-8059.45,236.34,75.2,2.713,11.371,CH-2,,,,0
2139369183468814464,290.7976,52.3421,3.8986,1.046,0.02291,5.9951,-1.6698,-8095.13,244.35,94.07,2.901,11.14,CH-2,,,,0
2135947060905910528,293.0635,50.7443,3.5891,1.064,0.16217,4.666,-2.7553,-8088.28,267.44,91.29,2.927,9.973,CH-2,,,,0
2129891534975864064,292.2288,49.8707,3.9714,1.034,0.03148,4.452,-2.0485,-8087.11,240.97,84.98,2.934,9.923,CH-2,,,,0
2128941144612685184,293.9772,48.3434,3.6833,1.009,0.12345,4.266,-2.5059,-8079.97,261.1,82.22,3.034,9.195,CH-2,0.694,,0.694,0
2129395272975899904,290.6467,47.9067,3.6401,0.988,0.13098,3.4063,-2.8185,-8073.47,261.01,91.42,3.045,10.484,CH-2,,,,0
2135812538230262016,295.599,52.4661,3.784,1.047,0.04385,5.5084,-2.3797,-8100.2,255.5,84.7,3.071,9.819,CH-2,,,,0
2139278748636772224,290.6259,52.3156,3.766,1.0,0.06695,4.9049,-2.659,-8093.9,252.8,97.03,3.077,10.796,CH-2,,,,0
2136160297441345792,292.3942,51.2443,3.8955,1.023,0.03614,5.0405,-1.8679,-8092.24,245.88,88.31,3.083,10.486,CH-2,,,,0
2130026942405777664,290.8295,49.7627,3.5996,1.025,0.16289,4.6521,-3.0453,-8081.4,264.55,95.25,3.103,10.235,CH-2,,,,0
2130909231769499648,289.0078,47.5573,4.0202,1.102,0.02052,2.2721,-2.0486,-8074.99,234.73,88.38,3.299,11.741,CH-2,,,,0
2107132155378666112,284.9972,45.3131,3.6863,0.939,0.03134,4.162,-3.3002,-8056.84,250.43,102.24,3.326,11.417,CH-2,,,,0
2136561408730121472,294.1543,52.5157,3.8967,1.033,0.02181,5.2063,-1.8704,-8099.38,247.07,86.38,3.342,10.948,CH-2,,,,0
2135433107939367040,296.6364,50.8539,3.7661,0.964,0.04534,5.1352,-1.6871,-8094.71,257.61,79.1,3.486,11.025,CH-2,,,,0
2082008971824158720,302.1366,44.8277,2.9149,0.927,0.36069,4.5781,-3.2409,-8066.04,336.26,59.45,-0.422,11.039,RSG-5,,,,0
2081986328756022144,302.539,45.0167,2.8651,1.146,0.29135,4.519,-3.037,-8066.93,342.5,59.28,-0.214,-0.059,RSG-5,,,,0
2081738698122520832,303.8217,45.741,2.9535,0.922,0.67627,5.4125,-3.4297,-8074.96,333.45,56.02,-0.197,-0.671,RSG-5,,,,0
2082384317605663488,302.7467,45.6011,2.9891,1.11,0.55236,5.3455,-3.5091,-8072.52,328.68,58.8,-0.137,0.637,RSG-5,,,,0
2081646132986902528,303.6198,45.6206,2.895,0.965,0.428,4.5148,-3.3942,-8072.95,340.01,57.04,-0.136,0.534,RSG-5,,,,0
2080810675946926080,304.2185,42.8711,2.9374,0.934,0.19217,5.3163,-3.6392,-8061.47,334.12,45.39,-0.103,0.903,RSG-5,,,,0
2081724434527097472,303.8188,45.5943,2.9404,0.968,0.68102,4.8291,-3.6383,-8074.02,334.87,55.7,-0.102,0.796,RSG-5,,,,0
2082364835634201728,303.1594,45.429,2.9155,0.852,0.55941,5.2218,-3.5,-8071.32,337.21,57.76,0.009,1.668,RSG-5,,,,0
2081979693024624896,302.7169,45.0134,3.0162,0.885,0.4366,5.0481,-3.5922,-8070.05,325.47,56.74,0.013,1.66,RSG-5,,,,0
2082038310734635136,302.2959,45.1883,3.0494,0.952,0.39283,4.8357,-3.0672,-8070.57,321.7,58.3,0.027,1.692,RSG-5,,,,0
2081601980722071168,303.0678,45.0886,2.9722,0.905,0.54826,4.9757,-3.5038,-8070.41,330.57,56.29,0.032,1.778,RSG-5,,,,0
2081909496073950336,301.7271,44.6533,2.9192,0.819,0.34795,4.6968,-3.4955,-8064.35,335.36,60.3,0.08,1.701,RSG-5,,,,0
2081462720701840512,304.5886,45.0891,2.9278,1.033,0.49003,5.2846,-3.4676,-8073.05,336.63,51.52,0.093,1.562,RSG-5,,,,0
2080835792915924736,304.0468,43.1873,2.8312,0.916,0.21254,4.2068,-3.2457,-8060.39,346.73,48.03,0.317,2.533,RSG-5,,,,0
2080812806250789120,304.426,42.8707,2.9698,0.846,0.18834,5.484,-3.9558,-8062.61,330.61,44.38,0.373,2.646,RSG-5,,,,0
