dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2102057810435877504,2102057810435877504,5264013,288.3522,40.4015,0.14755,-3.1594,-5.4572,-8017.99,314.9,99.13,0.17,-0.014
2102476896165207168,2102476896165207168,7020022,287.1849,42.5488,0.22996,-0.1048,-3.0496,-8031.6,302.81,105.25,0.058,-0.01
2102061516989607936,2102061516989607936,5263545,288.1672,40.4716,0.21654,-2.2706,-3.4396,-8017.22,317.33,100.71,0.054,-0.003
2103381725513446016,2103381725513446016,5167899,284.9931,40.3044,0.18314,-4.2481,-2.4187,-8013.83,306.67,111.57,0.061,-0.014
2103388047705329152,2103388047705329152,5167941,285.0172,40.3834,0.08094,-2.0165,0.0675,-8002.13,341.43,121.9,0.046,-0.012
2102081518655563264,2102081518655563264,5437459,288.2846,40.6384,0.05498,1.1733,-8.0365,-8026.12,293.72,94.61,0.067,-0.01
2103404987056588544,2103404987056588544,5080003,284.6852,40.2821,0.02369,0.0675,3.2449,-8005.45,328.33,119.42,0.035,-0.007
2102097633373118848,2102097633373118848,5695850,288.7003,40.9173,0.06571,-1.1052,1.2209,-8018.9,323.4,100.82,0.078,-0.016
2102937763335068544,2102937763335068544,7598549,288.7264,43.2025,0.02555,2.0032,-6.078,-8023.25,355.32,114.06,0.04,-0.012
2103448963226726144,2103448963226726144,5429163,284.6884,40.6762,0.40741,-1.6025,-2.102,-8015.28,307.08,113.73,0.066,0.006
2102111892664542080,2102111892664542080,5780861,288.5687,41.048,0.02363,-2.1818,-3.131,-8003.72,372.82,114.05,0.05,0.005
2103452815812507392,2103452815812507392,5514252,284.5586,40.7264,0.03688,-3.2046,-7.4614,-7999.17,353.62,128.59,0.054,-0.009
2103454877396849280,2103454877396849280,5429227,284.7163,40.696,0.28848,-0.5991,-2.3359,-8009.58,323.97,118.75,0.073,-0.013
2103456457944907776,2103456457944907776,5514871,284.8962,40.7809,0.40201,-1.8676,-2.1117,-8014.95,310.87,114.13,0.077,-0.005
