dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2082500998973646336,303.50237,46.11974,2.9947,1.105,0.464,5.99,-2.86,-8076.8,328.8,57.8,2.944,10.863,RSG-5,,,,0
2085391340164306816,299.97595,46.5456,2.8233,0.959,0.148,3.77,-3.67,-8068.6,346.1,74.1,2.946,9.934,RSG-5,,,,0
2075782295733641088,301.7402,43.2657,2.8669,1.055,0.239,4.37,-3.75,-8056.2,340.7,56.5,2.95,10.264,RSG-5,,,,0
2075737323139840000,301.41951,42.64953,2.8755,1.073,0.234,4.27,-3.68,-8052.5,339.0,55.6,2.953,9.508,RSG-5,,,,0
2080689622285429120,303.66916,42.25567,2.8823,0.963,0.218,3.64,-3.01,-8055.9,339.7,45.8,2.965,9.963,RSG-5,,,,0
2081701108567797632,304.58118,45.62585,2.9466,0.958,0.639,5.28,-3.42,-8076.0,334.7,53.1,2.968,10.691,RSG-5,,,,0
2082363972335462400,303.1459,45.34492,2.9422,1.052,0.557,5.3,-2.95,-8071.3,334.1,57.2,2.972,10.361,RSG-5,,,,0
2081978524793495936,302.70768,44.96492,2.9878,1.004,0.489,4.74,-3.58,-8069.3,328.5,57.0,2.976,10.587,RSG-5,,,,0
2082364315932995712,303.10096,45.39324,2.8881,1.065,0.44,5.93,-3.85,-8070.5,340.4,58.2,2.977,9.906,RSG-5,,,,0
2082506054158143104,303.58913,46.15196,2.9406,0.95,0.552,5.57,-3.11,-8076.3,334.9,58.3,2.991,9.361,RSG-5,,,,0
2081676468328607744,304.4007,45.54826,3.0055,0.957,0.554,5.28,-3.57,-8076.1,328.0,52.8,2.998,10.486,RSG-5,,,,0
2081195569434061440,303.03859,44.37121,2.944,0.996,0.416,4.72,-3.29,-8066.3,333.4,54.4,3.001,10.381,RSG-5,,,,0
2082395037844861824,303.14062,45.67384,2.8706,1.083,0.464,5.68,-3.57,-8071.7,342.6,59.2,3.02,9.698,RSG-5,,,,0
2081669974342252160,304.26631,45.43394,2.9257,0.946,0.597,5.06,-3.28,-8074.0,336.8,53.8,3.022,10.537,RSG-5,,,,0
2081588683503568768,303.56542,44.95638,3.0419,1.077,0.401,4.82,-3.86,-8072.0,323.3,53.4,3.031,10.224,RSG-5,,,,0
2082662833339303680,301.98216,46.37678,3.0556,0.985,0.319,4.43,-3.65,-8075.8,321.2,62.9,3.043,9.782,RSG-5,,,,0
2075565936763597952,299.17231,42.76259,2.9573,1.054,0.142,3.78,-2.52,-8050.3,327.7,63.2,3.048,10.584,RSG-5,,,,0
2062576405174587648,304.07408,41.2622,3.0271,1.353,0.126,3.59,-3.67,-8055.3,323.0,40.0,3.05,11.037,RSG-5,,,,0
2081641838019627904,303.73656,45.5387,3.045,0.983,0.43,5.3,-3.31,-8075.2,323.3,54.6,3.071,10.642,RSG-5,,,,0
2075577928314669312,299.28445,43.10388,2.8082,0.986,0.158,4.34,-3.5,-8048.5,345.5,66.1,3.08,10.901,RSG-5,,,,0
2082416233501351552,303.28323,45.9641,3.0278,1.073,0.474,5.36,-3.18,-8076.0,325.0,57.7,3.084,11.531,RSG-5,,,,0
2074812732637849088,301.76306,41.90619,3.0433,1.044,0.128,5.88,-3.97,-8053.5,320.0,50.2,3.089,11.028,RSG-5,,,,0
2081727939216919936,304.22142,45.64973,3.0565,0.931,0.403,5.0,-3.12,-8077.0,322.4,53.2,3.094,11.19,RSG-5,,,,0
2081219793046352512,303.14721,44.76601,2.8647,0.964,0.346,5.06,-3.32,-8067.0,342.9,56.3,3.096,10.612,RSG-5,,,,0
2082044254970360576,302.38805,45.25275,3.0045,0.937,0.456,4.77,-3.61,-8070.3,326.6,58.7,3.098,9.976,RSG-5,,,,0
2081206564546899072,303.24234,44.6685,3.015,1.036,0.429,4.75,-3.53,-8069.5,325.8,53.9,3.108,10.937,RSG-5,,,,0
2075929943835165824,300.21951,43.5073,2.915,0.925,0.212,4.05,-3.23,-8055.2,333.9,62.2,3.113,10.077,RSG-5,,,,0
2075775943486189568,301.69228,43.21433,3.047,1.084,0.2,3.94,-3.5,-8059.8,320.5,54.4,3.124,10.059,RSG-5,,,,0
2081735326561391744,304.03852,45.86999,2.911,0.915,0.636,5.51,-3.65,-8075.4,338.5,56.2,3.139,10.549,RSG-5,,,,0
2082426064689235968,302.50869,45.62833,2.9128,0.97,0.5,5.21,-3.24,-8070.8,337.1,60.7,3.144,10.968,RSG-5,,,,0
2081744912932494720,303.70165,45.97987,2.9528,1.117,0.657,5.68,-3.47,-8075.9,333.5,57.2,3.152,11.283,RSG-5,,,,0
2082412041608924928,303.03714,45.89827,2.8263,1.022,0.307,5.23,-3.72,-8071.9,347.9,60.9,3.159,11.371,RSG-5,,,,0
2082415924262577664,303.22009,45.92399,2.9792,1.012,0.545,5.45,-3.3,-8075.0,330.2,58.3,3.166,10.818,RSG-5,,,,0
